spot_id,tau,lambda,n_celltypes,rmse
0,0.15,50,7,0.3291698371738381
1,0.15,50,16,0.8200054454031356
2,0.15,50,15,1.2252666363998208
3,0.15,50,10,0.18727935864296436
4,0.15,50,14,1.6952569750030906
5,0.15,50,14,1.617512340538193
6,0.15,50,16,1.7437616205141437
7,0.15,50,15,0.7762666789216217
8,0.15,50,10,0.5454553669091692
9,0.15,50,9,0.2341385582379927
10,0.15,50,13,1.7649798034209112
11,0.15,50,9,0.37639639448728435
12,0.15,50,14,0.9686044501034808
13,0.15,50,8,0.5468671936766162
14,0.15,50,11,0.441899390398373
15,0.15,50,13,0.5756237110797106
16,0.15,50,9,0.8474742519809563
17,0.15,50,9,0.3494450423089247
18,0.15,50,16,1.006989267582296
19,0.15,50,14,1.4595007272025136
20,0.15,50,9,0.6707183777086577
21,0.15,50,12,0.7826056365427914
22,0.15,50,16,1.1643245527965753
23,0.15,50,10,0.49089141882081744
24,0.15,50,13,0.9201101751071807
25,0.15,50,10,0.19697870590196082
26,0.15,50,16,0.9533477889825555
27,0.15,50,10,0.2946994832112382
28,0.15,50,9,0.5597739032233987
29,0.15,50,14,1.4041579238312139
30,0.15,50,15,1.2602450410233443
31,0.15,50,15,2.3920105353447854
32,0.15,50,13,0.6264218949780204
33,0.15,50,10,0.6376346987198424
34,0.15,50,12,0.42773565282826503
35,0.15,50,10,0.2769343336604453
36,0.15,50,15,0.685296798903992
37,0.15,50,14,0.5306946396777371
38,0.15,50,16,0.8734229797825704
39,0.15,50,9,0.2778602142073486
40,0.15,50,13,0.5281648462658804
41,0.15,50,13,1.4652429278240764
42,0.15,50,16,0.7723455972723098
43,0.15,50,12,0.7030080771449202
44,0.15,50,12,0.5219903203952064
45,0.15,50,14,0.6281435654851457
46,0.15,50,17,0.5363472945240458
47,0.15,50,11,0.5132432136909792
48,0.15,50,12,0.3593200404707153
49,0.15,50,10,0.3523029290729049
50,0.15,50,14,0.6389863873138737
51,0.15,50,13,1.3400903794549939
52,0.15,50,14,1.262603210788932
53,0.15,50,17,1.4597651291541431
54,0.15,50,15,1.2368036115853205
55,0.15,50,16,0.7156458867987666
56,0.15,50,12,0.881133627317873
57,0.15,50,13,2.002559423549464
58,0.15,50,13,0.5425585665264543
59,0.15,50,11,1.0362276650665387
60,0.15,50,10,0.5750453297618533
61,0.15,50,15,0.41909841846173623
62,0.15,50,12,0.5812288696144425
63,0.15,50,9,0.34593006681258265
64,0.15,50,10,1.044559389015802
65,0.15,50,14,1.0344919944784294
